,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Rickey Holden,33,5,12,.417,5,10,.500,0,2,.000,4,4,1.000,0,0,0,5,2,1,5,3,14
1,James Suber,31,5,8,.625,5,8,.625,0,0,,4,6,.667,6,5,11,0,1,2,0,2,14
2,Jarkell Joiner,27,4,10,.400,2,5,.400,2,5,.400,0,0,,1,4,5,0,1,0,2,2,10
3,Greg Lee,17,1,4,.250,1,3,.333,0,1,.000,0,0,,1,2,3,1,0,0,1,4,2
4,Justin McCall,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,2,0
5,Damiyne Durham,34,3,14,.214,1,4,.250,2,10,.200,0,0,,1,4,5,2,0,0,1,4,8
6,Justin Edler-Davis,19,2,4,.500,2,3,.667,0,1,.000,0,0,,3,2,5,0,1,0,1,5,4
7,Jeremiah Dickerson,11,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0
8,Kevin McNeal,8,1,3,.333,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,1,0,2
9,Bray Barnes,8,1,1,1.000,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2
10,Darius Williams,5,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0
11,Darrin Person Jr.,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
