,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,TJ Shorts II,35,3,11,.273,3,10,.300,0,1,.000,2,2,1.000,1,8,9,6,1,1,2,3,8
1,Joe Mooney,30,8,11,.727,3,4,.750,5,7,.714,0,0,,0,3,3,1,1,2,1,1,21
2,Stefan Gonzalez,29,5,9,.556,0,0,,5,9,.556,0,0,,1,7,8,2,0,0,1,0,15
3,Rogers Printup,23,3,6,.500,2,3,.667,1,3,.333,0,0,,0,5,5,1,0,0,0,0,7
4,Matt Neufeld,16,4,6,.667,4,6,.667,0,0,,0,0,,1,1,2,0,0,0,2,1,8
5,A.J. John,19,1,4,.250,1,2,.500,0,2,.000,1,2,.500,0,1,1,4,0,0,1,1,3
6,Garrison Goode,17,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,1,2,0,0,4,0
7,Siler Schneider,16,1,6,.167,1,4,.250,0,2,.000,5,5,1.000,0,0,0,3,2,0,1,2,7
8,Damion Squire,12,1,1,1.000,0,0,,1,1,1.000,2,2,1.000,1,3,4,2,2,0,1,1,5
9,Caleb Fuller,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Jonah Underwood,1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
