,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Devearl Ramsey,35,4,9,.444,1,3,.333,3,6,.500,1,1,1.000,0,5,5,3,0,0,2,2,12
1,Jaquori McLaughlin,35,1,6,.167,0,3,.000,1,3,.333,2,2,1.000,0,0,0,5,1,0,2,4,5
2,Ar'Mond Davis,24,3,8,.375,1,3,.333,2,5,.400,0,0,,0,3,3,1,0,0,1,2,8
3,Ami Lakoju,5,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,1,3,2
4,Maxwell Kupchak,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0
5,Max Heidegger,36,4,14,.286,2,7,.286,2,7,.286,7,8,.875,0,1,1,4,1,0,1,0,17
6,Amadou Sow,34,6,11,.545,6,10,.600,0,1,.000,1,2,.500,6,9,15,2,1,3,3,2,13
7,Jarriesse Blackmon,22,2,2,1.000,2,2,1.000,0,0,,0,2,.000,2,2,4,2,0,1,1,2,4
8,Jay Nagle,5,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3
9,Robinson Idehen,1,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0
10,Sekou Toure,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
