,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Isaiah Reese,36,3,13,.231,3,6,.500,0,7,.000,0,0,,1,7,8,4,4,0,2,4,6
1,Takal Molson,33,8,20,.400,6,10,.600,2,10,.200,6,9,.667,3,0,3,2,0,1,1,2,24
2,Scott Hitchon,26,4,6,.667,3,5,.600,1,1,1.000,1,3,.333,1,3,4,0,0,0,1,2,10
3,Malik Johnson,24,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,3,2,0,1,4,0
4,Jalanni White,14,1,3,.333,1,2,.500,0,1,.000,4,6,.667,2,2,4,0,1,1,0,0,6
5,Jonathan Sanks,27,2,6,.333,1,2,.500,1,4,.250,2,4,.500,0,5,5,2,3,0,0,4,7
6,Jibreel Faulkner,19,3,7,.429,2,4,.500,1,3,.333,0,0,,1,0,1,1,0,0,0,2,7
7,Dantai St. Louis,10,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,3,2
8,Kenjuan Johnson-Alls,7,1,2,.500,0,0,,1,2,.500,1,3,.333,0,2,2,0,1,0,2,2,4
9,Jordan Henderson,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
