,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tyler Kohl,32,8,15,.533,5,9,.556,3,6,.500,2,3,.667,0,5,5,5,3,0,3,4,21
1,Jamir Coleman,29,4,9,.444,4,7,.571,0,2,.000,0,0,,1,3,4,0,1,1,1,3,8
2,Ian Krishnan,28,6,15,.400,3,7,.429,3,8,.375,0,0,,0,1,1,2,0,0,0,4,15
3,Deion Bute,22,3,5,.600,3,5,.600,0,0,,6,8,.750,3,1,4,0,2,3,1,3,12
4,Tyson Batiste,17,1,3,.333,1,3,.333,0,0,,2,2,1.000,5,2,7,4,0,0,0,1,4
5,Thai Segwai,22,0,1,.000,0,1,.000,0,0,,3,4,.750,0,2,2,2,1,0,0,1,3
6,Joe Hugley,17,2,8,.250,1,4,.250,1,4,.250,9,10,.900,5,4,9,0,0,3,0,3,14
7,Kashaun Hicks,11,0,3,.000,0,3,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0
8,Karrington Wallace,10,0,2,.000,0,2,.000,0,0,,0,0,,0,5,5,0,0,0,1,1,0
9,Donyell Marshall Jr.,4,0,1,.000,0,0,,0,1,.000,0,2,.000,0,0,0,0,0,0,0,1,0
10,Chris Williams,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Will Ellis,2,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2
12,Harrison Kay,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
