,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jaylan McGill,37,1,8,.125,0,3,.000,1,5,.200,0,0,,2,1,3,0,2,0,2,2,3
1,Jon Davis,31,5,11,.455,5,8,.625,0,3,.000,2,2,1.000,0,2,2,2,1,1,2,2,12
2,Brandon Younger,27,3,6,.500,1,3,.333,2,3,.667,0,0,,0,3,3,1,0,1,3,3,8
3,Cooper Robb,25,1,5,.200,1,2,.500,0,3,.000,0,0,,0,1,1,0,2,0,2,1,2
4,Milos Supica,16,0,3,.000,0,3,.000,0,0,,0,1,.000,0,2,2,0,0,0,3,2,0
5,Malik Martin,23,2,7,.286,2,6,.333,0,1,.000,2,4,.500,2,3,5,0,1,0,2,3,6
6,Dravon Mangum,18,3,8,.375,3,4,.750,0,4,.000,1,3,.333,2,0,2,1,0,0,1,1,7
7,Jailan Haslem,14,1,3,.333,1,3,.333,0,0,,2,3,.667,5,3,8,1,0,1,1,3,4
8,John Kitoko,7,0,3,.000,0,0,,0,3,.000,1,2,.500,0,0,0,1,0,0,0,0,1
9,Bo Blight,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
