,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Dexter Thompson,26,4,9,.444,4,9,.444,0,0,,0,0,,1,4,5,1,2,0,2,2,8
1,Cartier Talford,23,4,14,.286,3,7,.429,1,7,.143,1,2,.500,3,0,3,0,0,0,1,3,10
2,Edward McWade,20,4,7,.571,3,5,.600,1,2,.500,2,4,.500,4,2,6,1,0,0,0,3,11
3,Trevonn Pitts,19,3,9,.333,3,7,.429,0,2,.000,0,0,,0,2,2,1,2,0,6,3,6
4,Roman Letterlough,16,1,3,.333,1,3,.333,0,0,,2,2,1.000,1,4,5,1,1,0,2,3,4
5,Amir Warrick,19,0,7,.000,0,7,.000,0,0,,0,0,,2,4,6,0,1,0,1,2,0
6,Alex Rogat,18,1,6,.167,1,6,.167,0,0,,1,1,1.000,2,2,4,2,0,1,1,0,3
7,Juston Bailey,15,1,6,.167,1,3,.333,0,3,.000,1,3,.333,0,2,2,1,1,0,2,1,3
8,Colin Flach,14,2,4,.500,0,0,,2,4,.500,0,0,,0,0,0,1,0,0,0,0,6
9,Keyon Butler,13,4,7,.571,3,6,.500,1,1,1.000,2,5,.400,3,1,4,0,0,0,0,2,11
10,Liban Awl,12,0,3,.000,0,0,,0,3,.000,0,0,,0,2,2,1,0,0,0,1,0
11,Billy Miller,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
