,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Rob Shaw,37,4,11,.364,4,9,.444,0,2,.000,3,5,.600,1,6,7,4,0,0,4,0,11
1,Anthony Harris,36,2,11,.182,2,11,.182,0,0,,7,9,.778,1,5,6,1,2,1,5,4,11
2,Travon Bell,32,4,13,.308,2,4,.500,2,9,.222,2,2,1.000,1,1,2,0,2,0,2,2,12
3,Delshon Strickland,25,1,3,.333,1,3,.333,0,0,,0,0,,0,4,4,1,0,1,1,1,2
4,Patrick Szpir,14,0,2,.000,0,2,.000,0,0,,0,0,,2,0,2,1,0,0,1,2,0
5,Christian Jacob,23,4,8,.500,4,8,.500,0,0,,2,4,.500,2,1,3,1,1,0,3,1,10
6,Ken Odiase,13,0,0,,0,0,,0,0,,0,2,.000,0,1,1,0,0,1,0,3,0
7,Eugene Witherspoon,11,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0
8,Jordan Reed,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
9,Michael Johnson,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
10,Noah Bigirumwami,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
