,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jarron Cumberland,42,5,14,.357,4,10,.400,1,4,.250,11,12,.917,1,5,6,7,2,0,2,2,22
1,Nysier Brooks,34,6,8,.750,6,8,.750,0,0,,5,8,.625,3,3,6,1,0,2,0,2,17
2,Justin Jenifer,34,3,9,.333,0,2,.000,3,7,.429,4,8,.500,0,4,4,0,1,0,2,1,13
3,Tre Scott,33,1,7,.143,1,7,.143,0,0,,0,0,,0,1,1,3,0,0,1,2,2
4,Keith Williams,31,5,7,.714,4,5,.800,1,2,.500,1,2,.500,1,1,2,1,2,1,0,4,12
5,Cane Broome,22,2,4,.500,2,2,1.000,0,2,.000,4,8,.500,0,5,5,2,2,0,1,2,8
6,Trevor Moore,10,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
7,Eliel Nsoseme,10,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,2,0
8,Rashawn Fredericks,6,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,1,0,1,1,0
9,Logan Johnson,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0
