,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Matt Frierson,29,5,13,.385,0,0,,5,13,.385,0,0,,1,0,1,1,1,0,0,2,15
1,Lew Stallworth,28,6,10,.600,5,8,.625,1,2,.500,6,7,.857,0,6,6,10,0,1,2,1,19
2,Zane Najdawi,27,10,12,.833,10,11,.909,0,1,.000,3,5,.600,5,5,10,3,0,2,3,3,23
3,Kaelon Harris,21,3,9,.333,3,7,.429,0,2,.000,2,5,.400,3,6,9,3,1,0,0,0,8
4,Connor Kern,19,5,8,.625,1,3,.333,4,5,.800,0,0,,2,2,4,1,1,0,2,2,14
5,Alex Reed,21,3,8,.375,3,4,.750,0,4,.000,3,4,.750,3,1,4,2,4,1,0,1,9
6,Kaiden Rice,14,6,12,.500,3,4,.750,3,8,.375,1,1,1.000,1,4,5,0,1,0,0,2,16
7,Quayson Williams,13,3,5,.600,2,2,1.000,1,3,.333,3,3,1.000,1,3,4,1,0,0,1,2,10
8,Derek Webster Jr.,10,2,3,.667,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,0,0,4
9,Jerry Higgins III,9,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,2,2,0,1,0,0
10,Tyler Burgess,7,3,6,.500,0,0,,3,6,.500,0,0,,0,1,1,2,0,0,1,0,9
11,Robert Guyton,1,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0
12,Dimitri Georgiadis,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
