,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,David Skara,38,3,8,.375,2,6,.333,1,2,.500,2,2,1.000,1,5,6,0,1,0,1,2,9
1,Marcquise Reed,32,3,14,.214,3,9,.333,0,5,.000,8,11,.727,2,6,8,1,2,0,0,1,14
2,Elijah Thomas,31,4,10,.400,4,10,.400,0,0,,0,2,.000,3,9,12,0,1,1,4,3,8
3,Aamir Simms,29,1,8,.125,1,3,.333,0,5,.000,0,0,,0,2,2,1,1,1,0,1,2
4,Shelton Mitchell,25,1,6,.167,0,2,.000,1,4,.250,2,2,1.000,1,2,3,1,0,0,0,1,5
5,Clyde Trapp,23,0,3,.000,0,2,.000,0,1,.000,0,0,,0,0,0,1,2,0,1,2,0
6,John Newman III,11,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5
7,Trey Jemison,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
8,Hunter Tyson,4,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0
9,Javan White,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
