,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ebrima Dibba,36,4,12,.333,2,8,.250,2,4,.500,3,4,.750,0,8,8,8,1,0,1,2,13
1,DeVante Jones,34,3,10,.300,3,5,.600,0,5,.000,3,6,.500,2,6,8,4,1,0,1,4,9
2,Zac Cuthbertson,33,5,13,.385,4,10,.400,1,3,.333,7,9,.778,5,8,13,1,0,0,3,3,18
3,Tommy Burton,20,2,7,.286,2,7,.286,0,0,,3,6,.500,4,3,7,2,1,0,2,4,7
4,Ajay Sanders,9,0,2,.000,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,2,1,0
5,Tyrell Gumbs-Frater,29,8,16,.500,3,5,.600,5,11,.455,1,2,.500,1,0,1,0,2,1,1,1,22
6,Isaac Hippolyte,20,2,7,.286,2,7,.286,0,0,,0,0,,4,3,7,1,1,0,0,0,4
7,Trevion Brown,11,2,3,.667,0,0,,2,3,.667,0,0,,0,1,1,0,0,0,0,0,6
8,Amidou Bamba,7,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2
9,Josh Coleman,1,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
