,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jarrell Brantley,34,6,12,.500,5,9,.556,1,3,.333,2,2,1.000,0,4,4,2,2,0,2,3,15
1,Grant Riller,33,13,17,.765,12,14,.857,1,3,.333,6,7,.857,1,5,6,6,2,0,2,0,33
2,Zep Jasper,29,2,6,.333,0,1,.000,2,5,.400,0,0,,0,3,3,1,0,0,1,2,6
3,Nick Harris,22,0,0,,0,0,,0,0,,0,3,.000,0,3,3,0,0,2,0,2,0
4,Brevin Galloway,15,0,2,.000,0,1,.000,0,1,.000,1,2,.500,2,0,2,0,0,0,0,1,1
5,Jaylen McManus,21,3,6,.500,2,2,1.000,1,4,.250,0,0,,1,3,4,0,1,0,1,0,7
6,Jaylen Richard,17,2,4,.500,1,2,.500,1,2,.500,1,1,1.000,0,0,0,0,1,0,2,0,6
7,Isaih Moore,12,2,4,.500,2,3,.667,0,1,.000,0,0,,0,1,1,0,1,1,0,2,4
8,Osinachi Smart,8,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0
9,Quan McCluney,7,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2
10,Trent Robinson,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
11,Jermaine Blackmon Jr.,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
