,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,McKinley Wright IV,34,6,10,.600,4,6,.667,2,4,.500,3,4,.750,1,5,6,3,2,1,6,0,17
1,Lucas Siewert,29,3,7,.429,0,2,.000,3,5,.600,2,2,1.000,1,3,4,1,0,1,2,3,11
2,D'Shawn Schwartz,26,2,5,.400,1,3,.333,1,2,.500,3,4,.750,2,6,8,2,0,0,0,2,8
3,Shane Gatling,24,1,6,.167,1,5,.200,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,1,4
4,Tyler Bey,22,2,9,.222,2,8,.250,0,1,.000,0,0,,2,9,11,0,0,2,1,4,4
5,Evan Battey,22,4,8,.500,4,7,.571,0,1,.000,0,0,,1,1,2,0,1,0,2,4,8
6,Namon Wright,20,1,3,.333,1,1,1.000,0,2,.000,2,2,1.000,1,1,2,0,0,0,0,1,4
7,Eli Parquet,11,0,3,.000,0,3,.000,0,0,,0,0,,2,0,2,0,0,2,0,0,0
8,Daylen Kountz,7,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,3,1,0
9,Alexander Strating,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
