,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jalen Adams,36,9,16,.563,7,9,.778,2,7,.286,1,2,.500,3,2,5,6,1,0,5,4,21
1,Christian Vital,29,3,6,.500,1,2,.500,2,4,.500,3,3,1.000,0,3,3,1,0,0,7,3,11
2,Alterique Gilbert,28,3,12,.250,3,9,.333,0,3,.000,2,4,.500,0,2,2,2,1,0,1,1,8
3,Tyler Polley,20,3,6,.500,1,1,1.000,2,5,.400,0,0,,0,3,3,0,0,2,0,4,8
4,Josh Carlton,15,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,1,1,2,4,0
5,Tarin Smith,30,2,4,.500,1,2,.500,1,2,.500,0,0,,0,2,2,2,1,0,1,2,5
6,Eric Cobb,23,6,8,.750,6,8,.750,0,0,,0,1,.000,3,7,10,0,0,1,1,1,12
7,Sidney Wilson,12,2,4,.500,1,2,.500,1,2,.500,2,3,.667,0,2,2,0,0,1,0,2,7
8,Kassoum Yakwe,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
9,Brendan Adams,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0
