,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Matt Morgan,35,7,13,.538,5,7,.714,2,6,.333,9,12,.750,0,8,8,4,0,0,3,1,25
1,Steven Julian,32,2,6,.333,2,6,.333,0,0,,1,3,.333,1,4,5,1,3,4,1,2,5
2,Josh Warren,31,8,14,.571,6,11,.545,2,3,.667,1,3,.333,1,7,8,1,1,0,1,3,19
3,Jimmy Boeheim,23,3,7,.429,3,7,.429,0,0,,5,8,.625,0,1,1,2,1,0,1,3,11
4,Joel Davis,10,0,3,.000,0,3,.000,0,0,,0,0,,0,2,2,1,2,0,1,2,0
5,Terrance McBride,22,3,4,.750,3,4,.750,0,0,,5,6,.833,0,2,2,0,0,0,0,2,11
6,Jack Gordon,19,0,2,.000,0,1,.000,0,1,.000,4,4,1.000,0,0,0,1,1,0,1,4,4
7,Jake Kuhn,11,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,2
8,Dean Noll,6,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3
9,Bryan Knapp,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
10,Riley Voss,5,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
