,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Khyri Thomas,27,6,11,.545,4,6,.667,2,5,.400,3,3,1.000,1,5,6,4,3,0,2,1,17
1,Ronnie Harrell Jr.,25,3,5,.600,2,4,.500,1,1,1.000,4,5,.800,3,5,8,3,0,0,3,1,11
2,Martin Krampelj,22,9,10,.900,9,10,.900,0,0,,2,4,.500,2,4,6,1,1,0,0,1,20
3,Marcus Foster,22,5,10,.500,3,4,.750,2,6,.333,3,4,.750,0,3,3,1,1,1,3,1,15
4,Davion Mintz,18,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,3,3,4,2,0,0,0,5
5,Ty-Shon Alexander,24,0,3,.000,0,0,,0,3,.000,2,2,1.000,0,2,2,2,1,1,0,1,2
6,Mitchell Ballock,21,2,6,.333,0,1,.000,2,5,.400,0,0,,1,3,4,6,0,0,1,2,6
7,Manny Suarez,16,4,5,.800,4,4,1.000,0,1,.000,1,2,.500,0,3,3,0,0,0,1,4,9
8,Kaleb Joseph,11,2,3,.667,0,1,.000,2,2,1.000,6,7,.857,0,1,1,3,0,0,0,2,12
9,Tyler Clement,8,1,2,.500,0,0,,1,2,.500,0,0,,0,3,3,1,0,0,1,0,3
10,Jordan Scurry,6,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,2,0,0,0,1,3
