,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brendan Barry,36,9,13,.692,2,2,1.000,7,11,.636,0,0,,0,2,2,5,1,0,3,1,25
1,Chris Knight,31,7,10,.700,6,9,.667,1,1,1.000,5,6,.833,4,4,8,2,1,0,3,2,20
2,Adrease Jackson,30,2,12,.167,1,5,.200,1,7,.143,3,3,1.000,3,7,10,1,1,1,1,3,8
3,Ian Sistare,27,1,3,.333,0,0,,1,3,.333,2,2,1.000,1,2,3,6,0,0,3,2,5
4,James Foye,26,6,9,.667,1,3,.333,5,6,.833,3,4,.750,1,4,5,4,1,1,0,2,20
5,Taurus Samuels,23,3,6,.500,2,3,.667,1,3,.333,0,0,,0,3,3,1,0,1,1,3,7
6,Wes Slajchert,8,0,0,,0,0,,0,0,,0,1,.000,0,0,0,2,1,0,1,2,0
7,Aaryn Rai,8,0,2,.000,0,1,.000,0,1,.000,0,0,,1,1,2,0,1,0,1,2,0
8,Will Emery,6,1,1,1.000,0,0,,1,1,1.000,1,5,.200,1,0,1,0,0,1,1,3,4
9,Isaac Letoa,3,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2
10,Ian Carter,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Garrison Wade,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
