,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordan Davis,33,3,5,.600,2,3,.667,1,2,.500,3,4,.750,0,1,1,5,0,0,2,0,10
1,Jalen Crutcher,30,4,6,.667,4,4,1.000,0,2,.000,2,2,1.000,0,3,3,6,1,0,2,2,10
2,Ryan Mikesell,26,2,2,1.000,1,1,1.000,1,1,1.000,0,2,.000,1,3,4,2,2,0,1,2,5
3,Josh Cunningham,23,6,10,.600,6,10,.600,0,0,,3,5,.600,4,7,11,1,0,0,1,0,15
4,Trey Landers,19,3,11,.273,3,8,.375,0,3,.000,0,0,,2,7,9,2,1,0,4,1,6
5,Dwayne Cohill,26,1,2,.500,1,2,.500,0,0,,0,0,,0,2,2,0,0,2,0,2,2
6,Obi Toppin,20,7,11,.636,6,10,.600,1,1,1.000,4,5,.800,2,7,9,0,0,0,2,1,19
7,Frankie Policelli,19,3,9,.333,1,3,.333,2,6,.333,0,0,,1,2,3,1,0,0,0,2,8
8,Jack Westerfield,3,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
9,Camron Greer,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
