,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Joe Rosga,34,6,15,.400,2,6,.333,4,9,.444,1,2,.500,0,7,7,3,2,0,1,2,17
1,Ade Murkey,32,1,10,.100,1,10,.100,0,0,,4,5,.800,4,6,10,5,0,0,2,3,6
2,Donoven Carlisle,25,2,4,.500,2,2,1.000,0,2,.000,0,0,,0,2,2,1,1,0,1,3,4
3,Tory Stewart-Miller,21,4,6,.667,3,4,.750,1,2,.500,2,2,1.000,1,2,3,1,0,0,1,2,11
4,Ronnie Harrell Jr.,19,2,7,.286,2,4,.500,0,3,.000,1,3,.333,1,2,3,2,0,0,3,3,5
5,Joseph Lanzi,19,5,9,.556,1,2,.500,4,7,.571,0,0,,2,0,2,1,0,0,3,1,14
6,Alperen Kurnaz,15,2,4,.500,0,1,.000,2,3,.667,0,0,,4,1,5,0,0,0,0,3,6
7,Abiola Akintola,15,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,4,0
8,Elvin Rodriguez,10,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,2,2,1,1,0,2,1,2
9,Taelyr Gatlin,6,0,1,.000,0,1,.000,0,0,,0,1,.000,0,0,0,1,0,0,1,0,0
10,David Nzekwesi,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
