,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sincere Carry,37,3,10,.300,3,6,.500,0,4,.000,4,4,1.000,1,1,2,8,1,0,5,2,10
1,Eric Williams Jr.,34,9,14,.643,7,8,.875,2,6,.333,1,1,1.000,5,4,9,0,1,0,1,3,21
2,Frankie Hughes,31,2,8,.250,0,4,.000,2,4,.500,0,0,,1,2,3,1,0,0,0,0,6
3,Marcus Weathers,26,2,4,.500,2,3,.667,0,1,.000,3,4,.750,0,3,3,2,0,2,1,4,7
4,Michael Hughes,22,5,9,.556,5,6,.833,0,3,.000,2,4,.500,0,3,3,0,1,0,1,4,12
5,Tavian Dunn-Martin,21,1,7,.143,1,4,.250,0,3,.000,0,0,,0,1,1,1,0,0,0,0,2
6,Lamar Norman Jr.,17,3,6,.500,0,2,.000,3,4,.750,0,0,,1,0,1,0,0,0,0,1,9
7,Kellon Taylor,7,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
8,Gavin Bizeau,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
9,Zach Snyder,1,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
