,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Nick Mayo,33,9,23,.391,9,17,.529,0,6,.000,8,8,1.000,7,8,15,1,1,3,2,1,26
1,Dujuanta Weaver,31,2,13,.154,0,2,.000,2,11,.182,1,4,.250,2,5,7,2,1,0,1,2,7
2,Kelvin Robinson,28,6,13,.462,6,12,.500,0,1,.000,1,4,.250,4,3,7,2,1,0,5,4,13
3,Peyton Broughton,25,0,4,.000,0,1,.000,0,3,.000,2,2,1.000,1,1,2,1,2,1,2,2,2
4,Jordan Oakley,19,2,7,.286,1,5,.200,1,2,.500,0,2,.000,2,4,6,0,0,0,0,2,5
5,Lachlan Anderson,21,3,5,.600,3,4,.750,0,1,.000,2,6,.333,5,0,5,0,2,1,2,2,8
6,Jomaru Brown,17,3,10,.300,3,7,.429,0,3,.000,5,6,.833,0,2,2,1,2,0,2,4,11
7,Jacquess Hobbs,10,1,4,.250,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,3,4,2
8,Houston King,8,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2
9,Tre King,7,0,1,.000,0,1,.000,0,0,,1,2,.500,0,2,2,0,0,0,0,2,1
10,Cameron Carmical,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
