,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jesse Hunt,36,4,10,.400,4,7,.571,0,3,.000,2,2,1.000,2,8,10,4,2,0,0,0,10
1,Ty Gibson,30,2,9,.222,0,3,.000,2,6,.333,1,2,.500,0,2,2,3,0,0,1,2,7
2,Tyler Kidd,28,4,11,.364,3,8,.375,1,3,.333,4,4,1.000,0,2,2,1,1,0,2,1,13
3,Mason Peatling,26,5,7,.714,5,6,.833,0,1,.000,4,4,1.000,1,5,6,1,0,0,2,3,14
4,Cody Benzel,11,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,1,0,0,0,1,0
5,Kim Aiken Jr.,29,7,12,.583,4,5,.800,3,7,.429,2,3,.667,4,5,9,2,0,1,1,2,19
6,Jack Perry,23,0,3,.000,0,1,.000,0,2,.000,3,3,1.000,0,1,1,4,0,0,1,3,3
7,Austin Fadal,7,1,6,.167,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,1,0,2
8,Elijah Jackson,7,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0
9,Tanner Groves,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
