,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Santa Ana,35,7,12,.583,5,7,.714,2,5,.400,5,5,1.000,0,3,3,3,0,0,3,3,21
1,Tyler Seibring,33,5,9,.556,3,6,.500,2,3,.667,0,0,,0,5,5,2,1,0,0,1,12
2,Nathan Priddy,33,2,7,.286,0,3,.000,2,4,.500,0,0,,0,6,6,2,1,1,2,2,6
3,Chuck Hannah,30,5,7,.714,4,5,.800,1,2,.500,0,0,,1,1,2,0,0,0,0,4,11
4,Sheldon Eberhardt,21,2,5,.400,2,3,.667,0,2,.000,0,0,,0,1,1,2,1,0,2,2,4
5,Kris Wooten,25,1,8,.125,0,4,.000,1,4,.250,0,1,.000,1,0,1,0,0,0,3,0,3
6,Federico Poser,12,1,3,.333,1,3,.333,0,0,,1,2,.500,0,1,1,2,1,0,2,3,3
7,Seth Fuller,8,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0
8,Simon Wright,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,Karolis Kundrotas,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Andy Pack,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
