,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shea Feehan,31,7,12,.583,2,4,.500,5,8,.625,1,2,.500,1,3,4,1,3,1,4,2,20
1,John Hall,29,4,13,.308,4,11,.364,0,2,.000,1,2,.500,2,10,12,1,0,0,2,3,9
2,K.J. Riley,28,1,5,.200,1,5,.200,0,0,,5,6,.833,1,5,6,4,1,1,1,3,7
3,Marty Hill,23,3,5,.600,2,3,.667,1,2,.500,1,2,.500,1,4,5,2,1,1,2,1,8
4,Evan Kuhlman,18,4,9,.444,4,6,.667,0,3,.000,0,0,,1,2,3,2,0,0,1,2,8
5,Noah Frederking,30,6,9,.667,3,4,.750,3,5,.600,1,2,.500,1,2,3,2,1,0,2,1,16
6,Shamar Givance,18,2,6,.333,1,5,.200,1,1,1.000,4,4,1.000,0,4,4,2,0,0,3,4,9
7,Jawaun Newton,16,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,4,4,1,2,1,1,0,2
8,Dainius Chatkevicius,6,2,3,.667,2,3,.667,0,0,,2,3,.667,1,3,4,1,0,0,2,4,6
9,Jared Chestnut,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
