,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Taj Benning,37,3,6,.500,2,3,.667,1,3,.333,0,0,,0,7,7,4,2,0,3,2,7
1,Landon Taliaferro,37,2,8,.250,0,4,.000,2,4,.500,0,0,,1,3,4,0,0,0,1,2,6
2,Neftali Alvarez,31,5,15,.333,4,9,.444,1,6,.167,3,4,.750,0,2,2,3,4,0,4,4,14
3,Jonathan Kasibabu,16,1,4,.250,1,3,.333,0,1,.000,5,6,.833,1,2,3,2,1,0,2,3,7
4,Jesus Cruz,12,2,5,.400,1,3,.333,1,2,.500,2,2,1.000,1,1,2,1,0,0,4,0,7
5,Calvin Whipple,23,2,4,.500,2,2,1.000,0,2,.000,0,0,,1,7,8,0,0,0,1,1,4
6,Felix Lemetti,18,1,6,.167,0,0,,1,6,.167,0,0,,0,0,0,0,0,0,1,2,3
7,Wassef Methnani,17,4,9,.444,2,6,.333,2,3,.667,2,3,.667,4,6,10,0,0,2,2,5,12
8,Matija Milin,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Kevin Senghore-Peterson,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
10,Aidas Kavaliauskas,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Thomas Nolan,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
