,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Darnell Edge,39,9,16,.563,6,12,.500,3,4,.750,4,4,1.000,1,6,7,2,0,0,2,1,25
1,Jahlil Jenkins,37,7,12,.583,6,10,.600,1,2,.500,4,4,1.000,0,3,3,6,2,0,2,1,19
2,Mike Holloway Jr.,26,5,7,.714,5,7,.714,0,0,,4,8,.500,1,5,6,1,1,1,2,5,14
3,Kaleb Bishop,19,2,3,.667,2,3,.667,0,0,,0,0,,2,5,7,2,0,0,2,4,4
4,Xzavier Malone-Key,19,1,7,.143,1,3,.333,0,4,.000,1,1,1.000,0,2,2,2,0,0,1,1,3
5,Elyjah Williams,27,6,8,.750,6,7,.857,0,1,.000,2,4,.500,4,6,10,0,0,0,1,1,14
6,Brandon Powell,21,0,2,.000,0,2,.000,0,0,,2,2,1.000,0,3,3,4,1,0,1,4,2
7,Tyler Jones,6,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3
8,Oscar Okeke,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,2,0
9,Pat McNamara,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Bassel Saliba Jr.,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
