,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Josh Grimard,27,0,9,.000,0,4,.000,0,5,.000,0,0,,1,2,3,2,2,0,0,3,0
1,Marcus Huff,24,5,11,.455,3,6,.500,2,5,.400,0,1,.000,1,5,6,0,3,0,3,2,12
2,Rashad Reed,22,1,5,.200,1,4,.250,0,1,.000,1,2,.500,0,1,1,0,0,0,2,1,3
3,D'Andre Mullen,21,2,3,.667,2,3,.667,0,0,,2,2,1.000,0,2,2,2,2,0,7,2,6
4,Nick Helton,16,1,4,.250,0,0,,1,4,.250,0,0,,0,0,0,2,0,0,2,1,3
5,Chase Woodard,16,2,3,.667,2,3,.667,0,0,,0,0,,2,3,5,1,2,0,6,3,4
6,Carrington Young,16,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,3,1,0
7,R.J. Turner,13,2,3,.667,0,1,.000,2,2,1.000,0,0,,0,0,0,0,0,0,2,0,6
8,Adam Vaught,12,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,3,0
9,Luka Obrvan,9,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2
10,Jaylen Glover,8,0,3,.000,0,0,,0,3,.000,2,2,1.000,0,0,0,0,1,0,0,0,2
11,Ce'Darius Williams,7,2,3,.667,1,1,1.000,1,2,.500,0,0,,0,0,0,0,1,0,0,0,5
12,Lamar Claiborne,5,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,Isaiah Ellison,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0
