,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Andrew Nembhard,35,2,9,.222,1,6,.167,1,3,.333,1,3,.333,0,2,2,6,2,0,1,2,6
1,KeVaughn Allen,32,4,10,.400,2,5,.400,2,5,.400,0,2,.000,0,4,4,4,1,0,2,1,10
2,Keith Stone,28,4,10,.400,2,6,.333,2,4,.500,0,4,.000,2,5,7,0,0,1,0,1,10
3,Kevarrius Hayes,22,1,4,.250,1,4,.250,0,0,,2,2,1.000,1,6,7,1,0,3,1,1,4
4,Jalen Hudson,21,2,8,.250,2,4,.500,0,4,.000,0,0,,0,0,0,2,2,1,2,2,4
5,Noah Locke,23,3,6,.500,0,0,,3,6,.500,0,0,,0,3,3,0,1,0,0,0,9
6,Dontay Bassett,16,6,8,.750,4,5,.800,2,3,.667,0,0,,2,2,4,1,1,1,1,3,14
7,Keyontae Johnson,14,1,2,.500,0,0,,1,2,.500,0,0,,0,3,3,0,0,0,2,2,3
8,Deaundrae Ballard,7,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,2,0,1,1,0
9,Mike Okauru,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
