,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Ravenel,34,5,10,.500,2,5,.400,3,5,.600,0,0,,0,2,2,1,1,0,4,1,13
1,MJ Randolph,31,2,6,.333,2,6,.333,0,0,,2,2,1.000,0,6,6,1,3,0,2,3,6
2,Tracy Hector Jr.,29,4,8,.500,4,7,.571,0,1,.000,1,2,.500,0,4,4,5,1,0,2,5,9
3,Rod Melton Jr.,20,3,6,.500,1,3,.333,2,3,.667,1,3,.333,2,3,5,1,0,0,0,0,9
4,DJ Jones,20,1,6,.167,1,6,.167,0,0,,0,0,,0,4,4,1,0,2,2,5,2
5,Kamron Reaves,20,1,3,.333,0,1,.000,1,2,.500,0,0,,0,0,0,0,0,0,3,2,3
6,Bryce Moragne,14,0,2,.000,0,2,.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,2,2
7,Ifeanyi Umezurike,13,0,0,,0,0,,0,0,,1,4,.250,1,2,3,0,0,0,1,4,1
8,Nasir Core,10,0,3,.000,0,2,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,1,2
9,Richard Anderson,9,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3
