,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Anthony Adger,31,3,8,.375,1,2,.500,2,6,.333,7,7,1.000,0,5,5,4,0,0,2,1,15
1,Kevaughn Ellis,25,1,3,.333,0,1,.000,1,2,.500,0,0,,0,3,3,0,2,0,0,2,3
2,Simeon Lepichev,25,1,4,.250,1,2,.500,0,2,.000,0,0,,0,8,8,0,1,1,3,0,2
3,Michael Forrest,24,0,3,.000,0,2,.000,0,1,.000,2,2,1.000,1,2,3,3,0,0,1,1,2
4,Aleksandar Zecevic,14,3,4,.750,3,4,.750,0,0,,0,0,,0,3,3,1,1,0,3,3,6
5,Richardson Maitre,23,1,4,.250,0,2,.000,1,2,.500,0,0,,0,1,1,0,1,0,0,0,3
6,Xavian Stapleton,22,4,11,.364,0,3,.000,4,8,.500,0,1,.000,0,3,3,0,1,1,1,1,12
7,Karlis Silins,19,4,4,1.000,4,4,1.000,0,0,,6,7,.857,2,5,7,0,0,0,4,0,14
8,Cedric Jackson,11,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,3,0,0,0,0,0
9,Madiaw Niang,6,0,1,.000,0,0,,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0
