,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Antwon Portley,28,5,10,.500,2,3,.667,3,7,.429,0,0,,0,3,3,4,0,0,1,1,13
1,Ty Perry,28,2,10,.200,1,6,.167,1,4,.250,4,4,1.000,3,3,6,2,0,0,1,0,9
2,Nick Honor,26,5,10,.500,4,6,.667,1,4,.250,2,2,1.000,0,0,0,1,0,0,1,1,13
3,Ivan Raut,24,3,3,1.000,0,0,,3,3,1.000,0,0,,0,2,2,0,0,0,0,1,9
4,Jesse Bunting,13,3,3,1.000,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,1,4,6
5,Jalen Cobb,23,0,5,.000,0,2,.000,0,3,.000,2,2,1.000,0,6,6,5,1,1,1,3,2
6,Onyi Eyisi,21,2,3,.667,2,3,.667,0,0,,4,4,1.000,6,5,11,1,0,6,1,3,8
7,David Pekarek,13,5,8,.625,5,5,1.000,0,3,.000,0,0,,3,2,5,1,1,0,1,2,10
8,Chuba Ohams,12,2,3,.667,2,3,.667,0,0,,0,0,,1,1,2,0,1,0,1,3,4
9,Chris Austin,4,0,1,.000,0,0,,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,1
10,Chris Downing,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Peter Burquest,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
12,Mason Williams,2,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
