,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordan Lyons,33,15,35,.429,0,1,.000,15,34,.441,9,12,.750,1,1,2,4,2,0,0,0,54
1,Alex Hunter,26,1,5,.200,0,2,.000,1,3,.333,4,4,1.000,1,5,6,3,2,0,1,1,7
2,Matt Rafferty,23,4,8,.500,4,8,.500,0,0,,2,2,1.000,2,2,4,6,2,1,0,0,10
3,Clay Mounce,21,2,5,.400,1,2,.500,1,3,.333,0,0,,1,4,5,3,1,1,1,2,5
4,Tre Clark,19,3,4,.750,3,3,1.000,0,1,.000,1,2,.500,1,1,2,4,1,0,1,1,7
5,Jaylon Pugh,17,3,4,.750,0,0,,3,4,.750,0,0,,1,1,2,1,1,0,1,0,9
6,Jalen Slawson,17,0,1,.000,0,0,,0,1,.000,0,2,.000,3,4,7,1,3,0,1,3,0
7,Jalen Williams,16,2,3,.667,2,3,.667,0,0,,2,4,.500,3,5,8,1,0,1,0,1,6
8,Mike Bothwell,15,2,4,.500,2,3,.667,0,1,.000,0,0,,1,0,1,1,2,0,1,0,4
9,Brady Schuck,11,2,3,.667,1,1,1.000,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5
10,Robert Swanson,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
