,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,David Efianayi,39,5,10,.500,3,8,.375,2,2,1.000,4,8,.500,0,5,5,3,0,0,1,2,16
1,Christian Turner,35,4,7,.571,2,4,.500,2,3,.667,2,2,1.000,0,2,2,4,3,1,2,4,12
2,Eric Jamison,34,5,8,.625,5,7,.714,0,1,.000,0,0,,2,6,8,1,1,0,2,2,10
3,Nate Johnson,33,4,6,.667,2,3,.667,2,3,.667,0,1,.000,0,1,1,3,2,0,2,5,10
4,DJ Laster,24,6,9,.667,4,7,.571,2,2,1.000,1,2,.500,2,3,5,0,2,0,0,3,15
5,Jose Perez,30,8,17,.471,7,10,.700,1,7,.143,6,7,.857,1,6,7,1,0,0,0,1,23
6,Justin Jenkins,14,0,3,.000,0,2,.000,0,1,.000,0,0,,0,3,3,0,0,0,3,1,0
7,Jaheam Cornwall,9,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,1,1,0
8,Ludovic Dufeal,6,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
9,Brandon Miller,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
