,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Kier,39,10,14,.714,9,11,.818,1,3,.333,5,5,1.000,0,8,8,5,1,0,3,2,26
1,Otis Livingston II,35,4,16,.250,1,8,.125,3,8,.375,1,3,.333,3,1,4,2,1,0,1,0,12
2,Jordan Miller,34,2,6,.333,2,5,.400,0,1,.000,0,2,.000,3,7,10,1,2,2,1,1,4
3,Greg Calixte,23,2,5,.400,2,5,.400,0,0,,1,2,.500,1,5,6,0,0,1,2,4,5
4,Javon Greene,20,1,4,.250,0,0,,1,4,.250,4,4,1.000,1,1,2,0,1,1,2,3,7
5,Jamal Hartwell II,17,1,4,.250,0,1,.000,1,3,.333,2,2,1.000,0,0,0,0,0,0,0,0,5
6,Jason Douglas-Stanley,10,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
7,Jarred Reuter,9,0,1,.000,0,1,.000,0,0,,0,0,,0,5,5,1,0,0,1,0,0
8,AJ Wilson,7,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,2,2
9,Goanar Mar,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Ian Boyd,3,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0
