,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Mazzulla,42,7,17,.412,6,13,.462,1,4,.250,1,1,1.000,4,3,7,8,2,0,1,5,16
1,DJ Williams,41,5,15,.333,5,10,.500,0,5,.000,4,6,.667,2,5,7,2,2,0,4,3,14
2,Javier Langarica,40,7,14,.500,6,9,.667,1,5,.200,4,4,1.000,3,7,10,0,0,5,0,4,19
3,Maceo Jack,35,6,15,.400,3,6,.500,3,9,.333,0,0,,1,5,6,0,1,0,1,0,15
4,Terry Nolan Jr.,15,1,3,.333,0,1,.000,1,2,.500,2,4,.500,0,0,0,0,0,0,1,4,5
5,Armel Potter,33,5,10,.500,4,8,.500,1,2,.500,3,5,.600,0,0,0,5,2,0,0,0,14
6,Justin Williams,14,1,1,1.000,1,1,1.000,0,0,,0,0,,1,4,5,2,1,0,0,1,2
7,Mezie Offurum,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
8,Marcus Littles,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0
9,Shandon Brown,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
