,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jessie Govan,31,9,16,.563,7,13,.538,2,3,.667,2,4,.500,3,9,12,2,1,2,1,3,22
1,Greg Malinowski,21,3,4,.750,2,2,1.000,1,2,.500,2,2,1.000,0,2,2,1,1,0,1,2,9
2,Mac McClung,20,4,11,.364,2,4,.500,2,7,.286,0,0,,0,2,2,2,0,0,1,2,10
3,Josh LeBlanc,19,3,4,.750,3,4,.750,0,0,,4,4,1.000,1,1,2,1,1,0,0,0,10
4,Jagan Mosely,17,1,1,1.000,0,0,,1,1,1.000,2,2,1.000,0,2,2,4,0,0,2,1,5
5,James Akinjo,30,2,11,.182,0,6,.000,2,5,.400,0,0,,0,1,1,11,1,0,1,3,6
6,Kaleb Johnson,18,3,4,.750,2,3,.667,1,1,1.000,1,3,.333,1,3,4,0,0,0,0,2,8
7,Jamorko Pickett,18,3,6,.500,2,3,.667,1,3,.333,0,1,.000,1,5,6,2,0,1,1,1,7
8,Jahvon Blair,15,1,4,.250,0,0,,1,4,.250,0,0,,0,0,0,0,0,0,0,0,3
9,Trey Mourning,11,3,4,.750,2,3,.667,1,1,1.000,0,0,,0,2,2,0,0,0,1,2,7
