,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jose Alvarado,34,6,12,.500,4,5,.800,2,7,.286,0,0,,1,2,3,5,2,0,3,3,14
1,Curtis Haywood II,26,4,9,.444,1,2,.500,3,7,.429,2,2,1.000,0,0,0,4,1,0,0,1,13
2,Shembari Phillips,25,4,7,.571,3,4,.750,1,3,.333,1,1,1.000,0,4,4,4,3,0,3,2,10
3,Evan Cole,16,1,4,.250,1,3,.333,0,1,.000,3,4,.750,0,2,2,1,2,0,1,1,5
4,Abdoulaye Gueye,12,2,4,.500,2,4,.500,0,0,,1,2,.500,1,6,7,1,0,5,1,5,5
5,Sylvester Ogbonda,23,2,5,.400,2,5,.400,0,0,,3,5,.600,5,4,9,4,1,1,2,5,7
6,Brandon Alston,19,6,10,.600,2,5,.400,4,5,.800,1,4,.250,0,0,0,2,0,0,1,0,17
7,Michael Devoe,17,3,5,.600,1,1,1.000,2,4,.500,1,2,.500,0,1,1,2,1,1,2,3,9
8,Moses Wright,17,4,6,.667,4,4,1.000,0,2,.000,0,1,.000,0,4,4,1,0,1,1,1,8
9,Khalid Moore,7,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0
10,Kristian Sjolund,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,0,2,0
