,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Rui Hachimura,39,7,10,.700,6,8,.750,1,2,.500,2,2,1.000,0,8,8,1,2,0,3,2,17
1,Josh Perkins,35,7,15,.467,7,12,.583,0,3,.000,5,5,1.000,0,2,2,2,2,0,1,0,19
2,Zach Norvell Jr.,32,2,8,.250,2,4,.500,0,4,.000,2,2,1.000,0,4,4,3,1,1,0,1,6
3,Brandon Clarke,29,7,10,.700,7,9,.778,0,1,.000,1,2,.500,3,4,7,1,1,4,1,2,15
4,Corey Kispert,20,1,3,.333,1,1,1.000,0,2,.000,0,0,,1,3,4,1,1,0,3,1,2
5,Geno Crandall,20,3,5,.600,2,4,.500,1,1,1.000,1,1,1.000,0,0,0,1,0,0,1,4,8
6,Jeremy Jones,20,0,1,.000,0,0,,0,1,.000,0,0,,1,3,4,2,2,1,1,0,0
7,Filip Petrusev,5,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,4,2
8,Greg Foster Jr.,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Joel Ayayi,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
