,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Austin Branagan,30,6,18,.333,3,10,.300,3,8,.375,0,0,,5,3,8,2,1,0,1,3,15
1,Demarkus Stuckey,24,4,10,.400,1,2,.500,3,8,.375,1,3,.333,0,1,1,5,1,0,3,3,12
2,Colton Noel,18,1,4,.250,1,4,.250,0,0,,0,0,,2,2,4,1,0,0,0,0,2
3,Alhassan Barrie,15,4,5,.800,4,5,.800,0,0,,0,0,,3,1,4,1,3,0,4,4,8
4,Eli Gingerich,9,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,1,0
5,Brandon Watkins,20,2,5,.400,2,2,1.000,0,3,.000,0,0,,0,0,0,2,0,0,2,1,4
6,Tamaje Blackwell,19,4,13,.308,2,5,.400,2,8,.250,0,0,,1,1,2,1,0,1,1,0,10
7,Tanner Camp,18,3,4,.750,3,4,.750,0,0,,1,1,1.000,2,4,6,1,2,0,0,2,7
8,Ryan Mansbarger,17,4,11,.364,1,1,1.000,3,10,.300,0,0,,1,3,4,4,1,0,1,2,11
9,Dillon McCullough,16,1,3,.333,0,0,,1,3,.333,2,2,1.000,2,1,3,2,1,0,0,1,5
10,Ben Cotton,14,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,3,0,0,1,0,0
