,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sandy Cohen III,17,5,7,.714,5,6,.833,0,1,.000,2,2,1.000,0,4,4,3,3,1,3,3,12
1,Cody Schwartz,16,0,4,.000,0,1,.000,0,3,.000,2,3,.667,0,3,3,1,1,0,0,2,2
2,Jevon Smith,15,5,8,.625,5,8,.625,0,0,,0,0,,1,2,3,0,3,0,2,2,10
3,Kameron Hankerson,15,4,7,.571,3,5,.600,1,2,.500,0,0,,1,0,1,1,1,0,1,0,9
4,ShanQuan Hemphill,14,5,8,.625,5,8,.625,0,0,,3,3,1.000,0,4,4,3,4,0,0,1,13
5,Hunter Crist,22,4,5,.800,2,2,1.000,2,3,.667,0,0,,0,2,2,2,4,1,3,2,10
6,Josh McNair,19,4,5,.800,4,5,.800,0,0,,1,4,.250,4,4,8,1,2,2,2,3,9
7,Trevian Bell,19,1,4,.250,0,2,.000,1,2,.500,0,0,,1,1,2,0,0,0,1,2,3
8,Manny Patterson,17,4,9,.444,4,7,.571,0,2,.000,6,8,.750,3,3,6,0,1,0,0,2,14
9,JayQuan McCloud,16,4,7,.571,4,5,.800,0,2,.000,2,4,.500,1,5,6,6,1,0,1,2,10
10,PJ Pipes,16,1,3,.333,1,1,1.000,0,2,.000,2,2,1.000,1,2,3,3,4,0,1,0,4
11,T.J. Parham,14,5,9,.556,3,6,.500,2,3,.667,2,2,1.000,1,0,1,3,2,0,0,0,14
