,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jermaine Marrow,40,8,24,.333,4,11,.364,4,13,.308,4,6,.667,1,4,5,6,2,0,3,4,24
1,Akim Mitchell,28,2,7,.286,1,4,.250,1,3,.333,1,2,.500,3,1,4,0,1,0,0,3,6
2,Kalin Fisher,26,3,14,.214,2,9,.222,1,5,.200,0,0,,3,5,8,2,0,0,0,1,7
3,Lysander Bracey,25,0,4,.000,0,0,,0,4,.000,0,0,,1,1,2,0,0,0,0,0,0
4,Trevond Barnes,10,2,3,.667,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,1,2,4
5,Greg Heckstall,18,3,8,.375,3,4,.750,0,4,.000,3,4,.750,1,2,3,2,0,0,2,3,9
6,Ben Stanley,18,1,4,.250,1,3,.333,0,1,.000,2,2,1.000,2,2,4,0,0,0,1,4,4
7,Dondre Griffin,11,2,6,.333,0,1,.000,2,5,.400,0,0,,0,3,3,0,0,0,0,2,6
8,Trey Carver,11,1,1,1.000,1,1,1.000,0,0,,0,0,,3,0,3,0,0,0,0,0,2
9,Austin Colbert,8,1,1,1.000,1,1,1.000,0,0,,0,0,,2,1,3,0,0,1,1,2,2
10,Ricquall Smoot,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
11,Eugene Marshall III,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0
