,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jason Dunne,28,6,12,.500,3,6,.500,3,6,.500,3,4,.750,1,1,2,4,1,0,2,1,18
1,J.R. Lynch,25,5,11,.455,4,8,.500,1,3,.333,2,2,1.000,0,3,3,2,4,0,1,4,13
2,John Carroll,18,8,14,.571,8,11,.727,0,3,.000,3,3,1.000,2,4,6,0,1,0,0,2,19
3,Travis Weatherington,18,1,4,.250,1,1,1.000,0,3,.000,0,0,,1,5,6,2,1,0,1,4,2
4,George Blagojevic,5,2,4,.500,2,4,.500,0,0,,0,0,,3,2,5,2,0,0,1,0,4
5,Max Twyman,18,3,3,1.000,1,1,1.000,2,2,1.000,0,1,.000,0,0,0,1,2,0,0,1,8
6,DJ Mitchell,17,1,2,.500,1,1,1.000,0,1,.000,2,2,1.000,0,3,3,1,1,0,1,3,4
7,Romain Boxus,16,0,2,.000,0,0,,0,2,.000,0,0,,1,1,2,0,1,0,0,0,0
8,Eddie Davis III,14,2,4,.500,0,0,,2,4,.500,4,4,1.000,0,6,6,1,0,0,0,0,10
9,Darius Kinnel,13,2,5,.400,2,5,.400,0,0,,0,1,.000,2,0,2,2,1,0,2,1,4
10,Hunter Marks,9,0,3,.000,0,2,.000,0,1,.000,1,2,.500,0,2,2,2,0,0,1,1,1
11,Zach Brown,7,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2
12,Michael Dunne,5,1,2,.500,0,0,,1,2,.500,0,0,,1,2,3,0,0,0,0,0,3
13,Nikola Colovic,4,0,0,,0,0,,0,0,,1,4,.250,0,0,0,0,0,0,0,2,1
14,Petr Stepanyants,3,1,2,.500,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4
