,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brocke Stepteau,34,6,8,.750,3,4,.750,3,4,.750,2,2,1.000,0,1,1,4,0,0,2,0,17
1,Jack Purchase,28,8,12,.667,3,4,.750,5,8,.625,2,3,.667,1,8,9,1,1,1,3,0,23
2,Drew Buggs,27,3,4,.750,3,4,.750,0,0,,1,1,1.000,0,4,4,8,0,0,0,1,7
3,Eddie Stansberry,24,6,8,.750,3,3,1.000,3,5,.600,0,0,,0,4,4,2,1,0,0,0,15
4,Zigmars Raimo,21,1,4,.250,1,4,.250,0,0,,0,0,,2,0,2,5,0,0,0,3,2
5,Samuta Avea,16,3,4,.750,3,4,.750,0,0,,0,0,,1,1,2,0,0,1,1,2,6
6,Dawson Carper,15,3,8,.375,3,8,.375,0,0,,2,2,1.000,4,3,7,0,0,0,3,3,8
7,Sheriff Drammeh,12,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,3,1,0,0,0,0
8,Leland Green,11,3,4,.750,1,1,1.000,2,3,.667,0,0,,0,2,2,0,1,0,0,1,8
9,Mate Colina,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Justin Hemsley,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
11,Brandon Thomas,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Huthifah Abdeljawad,2,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1
