,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Wright-Foreman,35,8,14,.571,6,11,.545,2,3,.667,2,2,1.000,0,5,5,5,1,0,2,2,20
1,Desure Buie,30,3,5,.600,2,2,1.000,1,3,.333,0,0,,0,2,2,0,2,0,1,0,7
2,Eli Pemberton,29,5,10,.500,4,7,.571,1,3,.333,4,4,1.000,0,7,7,1,2,0,2,3,15
3,Jacquil Taylor,21,3,4,.750,3,4,.750,0,0,,0,0,,3,3,6,1,1,2,2,1,6
4,Stafford Trueheart,15,2,8,.250,2,3,.667,0,5,.000,1,2,.500,1,5,6,0,1,0,1,1,5
5,Jalen Ray,25,3,6,.500,2,2,1.000,1,4,.250,3,4,.750,0,0,0,0,0,1,2,3,10
6,Tareq Coburn,24,2,4,.500,1,2,.500,1,2,.500,4,5,.800,1,4,5,1,0,0,0,4,9
7,Dan Dwyer,18,2,2,1.000,2,2,1.000,0,0,,0,1,.000,0,2,2,0,0,1,2,1,4
8,Matija Radovic,2,1,1,1.000,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,0,2
9,Kevin Schutte,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
