,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Corey Davis Jr.,37,5,12,.417,0,1,.000,5,11,.455,2,3,.667,0,2,2,3,2,0,2,4,17
1,Devin Davis,32,10,14,.714,9,12,.750,1,2,.500,7,8,.875,4,6,10,2,0,2,1,4,28
2,Galen Robinson Jr.,30,1,2,.500,1,2,.500,0,0,,0,0,,0,3,3,9,3,0,2,3,2
3,Rob Gray Jr.,23,3,8,.375,3,6,.500,0,2,.000,5,5,1.000,0,4,4,2,0,0,3,3,11
4,Breaon Brady,16,0,4,.000,0,4,.000,0,0,,4,4,1.000,0,4,4,0,1,2,2,3,4
5,Nura Zanna,16,2,3,.667,2,3,.667,0,0,,1,2,.500,1,6,7,1,0,0,1,5,5
6,Wes VanBeck,14,2,2,1.000,1,1,1.000,1,1,1.000,2,4,.500,1,0,1,0,0,0,0,1,7
7,Fabian White Jr.,13,3,3,1.000,3,3,1.000,0,0,,0,0,,1,2,3,0,1,0,1,3,6
8,Armoni Brooks,11,3,4,.750,0,0,,3,4,.750,2,2,1.000,0,1,1,1,1,0,0,0,11
9,Gabe Grant,3,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
10,Valentine Sangoyomi,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0
11,Mike Adewunmi,2,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
