,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,RJ Cole,34,7,17,.412,3,11,.273,4,6,.667,14,15,.933,2,4,6,6,1,0,2,3,32
1,Charles Williams,31,7,17,.412,4,11,.364,3,6,.500,3,3,1.000,0,2,2,3,1,1,1,2,20
2,Akuwovo Ogheneyole,29,3,5,.600,3,4,.750,0,1,.000,1,2,.500,5,5,10,1,1,1,1,3,7
3,Chad Lott,28,1,7,.143,0,6,.000,1,1,1.000,2,4,.500,0,3,3,1,1,1,6,4,5
4,Zion Cousins,18,0,2,.000,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,4,0
5,Raymond Bethea Jr.,19,4,8,.500,4,8,.500,0,0,,5,6,.833,3,2,5,1,1,1,1,2,13
6,Jalen Jones,14,1,2,.500,1,2,.500,0,0,,0,0,,3,1,4,0,0,0,0,1,2
7,Andre Toure,13,0,2,.000,0,2,.000,0,0,,0,2,.000,1,4,5,0,2,2,0,2,0
8,Kyle Foster,7,0,5,.000,0,1,.000,0,4,.000,0,0,,0,2,2,0,0,0,1,0,0
9,Princewill Anosike,7,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,2,0
