,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jackson Strong,26,5,13,.385,2,3,.667,3,10,.300,0,0,,0,1,1,2,0,0,3,4,13
1,Hunter Johnson,23,1,3,.333,1,2,.500,0,1,.000,0,0,,2,2,4,1,1,0,0,0,2
2,Justin Everett,21,3,8,.375,3,8,.375,0,0,,0,2,.000,2,4,6,1,0,0,1,3,6
3,Amari Green,21,0,3,.000,0,3,.000,0,0,,0,0,,0,2,2,2,0,0,1,5,0
4,LJ Williams,20,0,1,.000,0,1,.000,0,0,,3,4,.750,1,2,3,0,0,0,1,4,3
5,Zachary Christian,18,1,5,.200,1,5,.200,0,0,,0,0,,0,5,5,2,0,0,2,5,2
6,Victor Mijas,14,1,7,.143,1,3,.333,0,4,.000,0,0,,0,1,1,0,0,0,2,1,2
7,Romario Wilson,11,2,5,.400,2,4,.500,0,1,.000,3,3,1.000,1,1,2,0,1,0,3,1,7
8,Kameron Curl,11,1,3,.333,1,2,.500,0,1,.000,2,3,.667,0,1,1,1,0,0,0,2,4
9,Deion Alston,11,2,3,.667,2,3,.667,0,0,,0,0,,0,2,2,0,2,0,0,2,4
10,Calvin Young II,10,2,3,.667,2,3,.667,0,0,,0,0,,1,0,1,0,0,2,1,2,4
11,Bryce Jackson,8,1,2,.500,1,1,1.000,0,1,.000,0,0,,1,0,1,0,0,0,1,1,2
12,Marjani Ellison,6,2,3,.667,2,3,.667,0,0,,1,1,1.000,1,1,2,0,0,0,0,3,5
