,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Trevon Allen,33,10,17,.588,7,10,.700,3,7,.429,0,2,.000,1,3,4,4,1,0,3,3,23
1,Cameron Tyson,30,4,13,.308,2,3,.667,2,10,.200,1,2,.500,0,4,4,1,0,0,0,1,11
2,Jared Rodriguez,29,3,9,.333,2,5,.400,1,4,.250,2,2,1.000,0,6,6,0,1,1,1,3,9
3,Scott Blakney,23,2,4,.500,2,4,.500,0,0,,0,0,,1,4,5,0,0,0,1,4,4
4,Chance Garvin,19,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,3,3,2,0,0,0,0,3
5,Rayquawndis Mitchell,19,4,8,.500,0,0,,4,8,.500,3,3,1.000,0,1,1,0,1,0,2,1,15
6,Khadim Samb,16,0,2,.000,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0
7,Xavier Smith,13,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,4,0,0,0,0,2
8,Cassius Smits-Francisco,12,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,1,0
9,Geno West,6,0,3,.000,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
