,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Godwin Boahen,32,8,12,.667,4,4,1.000,4,8,.500,0,0,,1,0,1,1,2,0,1,1,20
1,Marcus Ottey,32,4,9,.444,4,6,.667,0,3,.000,1,1,1.000,0,5,5,7,2,0,2,1,9
2,Tarkus Ferguson,31,6,12,.500,3,3,1.000,3,9,.333,0,0,,1,9,10,5,2,0,2,1,15
3,Travell Washington,20,2,3,.667,1,1,1.000,1,2,.500,2,2,1.000,0,1,1,0,1,0,0,2,7
4,Jordan Blount,19,4,8,.500,4,7,.571,0,1,.000,0,2,.000,1,3,4,3,2,0,3,3,8
5,Michael Diggins,22,1,5,.200,0,2,.000,1,3,.333,1,2,.500,1,2,3,3,0,0,1,3,4
6,Jacob Wiley,16,2,3,.667,1,2,.500,1,1,1.000,3,7,.429,1,2,3,0,0,0,1,2,8
7,Jamie Ahale,15,1,3,.333,0,0,,1,3,.333,0,0,,0,2,2,0,1,0,0,0,3
8,Ralph Bissainthe,11,1,2,.500,1,2,.500,0,0,,0,1,.000,0,0,0,1,0,0,0,1,2
9,Dominique Matthews,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0
