,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Romeo Langford,41,6,18,.333,4,13,.308,2,5,.400,5,6,.833,3,2,5,4,0,1,3,2,19
1,Aljami Durham,37,4,8,.500,1,3,.333,3,5,.600,3,4,.750,1,2,3,3,1,0,3,1,14
2,Justin Smith,36,6,17,.353,6,15,.400,0,2,.000,1,3,.333,5,5,10,2,0,3,1,4,13
3,Rob Phinisee,18,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,5,0
4,Juwan Morgan,13,2,5,.400,1,4,.250,1,1,1.000,0,0,,2,4,6,2,0,0,0,0,5
5,Devonte Green,34,4,8,.500,1,4,.250,3,4,.750,0,0,,1,4,5,5,1,1,4,0,11
6,De'Ron Davis,25,4,8,.500,4,8,.500,0,0,,4,6,.667,1,5,6,4,0,1,0,3,12
7,Evan Fitzner,8,1,3,.333,0,1,.000,1,2,.500,0,0,,0,1,1,1,1,0,0,0,3
8,Jake Forrester,8,1,3,.333,1,3,.333,0,0,,0,0,,1,3,4,0,0,1,0,5,2
9,Damezi Anderson,5,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
10,Clifton Moore,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
