,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Joe Wieskamp,32,1,5,.200,1,3,.333,0,2,.000,1,2,.500,2,3,5,2,1,1,0,1,3
1,Tyler Cook,29,7,16,.438,7,16,.438,0,0,,0,2,.000,2,4,6,0,1,1,2,1,14
2,Jordan Bohannon,27,0,2,.000,0,0,,0,2,.000,0,0,,1,2,3,3,0,0,2,2,0
3,Luka Garza,24,6,11,.545,6,9,.667,0,2,.000,2,4,.500,2,2,4,0,0,0,2,0,14
4,Isaiah Moss,24,2,7,.286,2,5,.400,0,2,.000,4,7,.571,0,4,4,1,0,0,1,1,8
5,Connor McCaffery,20,1,5,.200,1,2,.500,0,3,.000,1,1,1.000,0,1,1,2,0,0,2,1,3
6,Ryan Kriener,15,3,7,.429,3,6,.500,0,1,.000,0,0,,1,2,3,0,0,0,2,2,6
7,Nicholas Baer,14,0,3,.000,0,2,.000,0,1,.000,0,0,,1,4,5,1,2,2,0,1,0
8,Maishe Dailey,7,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0
9,Nicolas Hobbs,2,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3
10,Riley Till,2,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
11,Michael Baer,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Austin Ash,2,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0
