,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Aamahne Santos,35,2,8,.250,2,4,.500,0,4,.000,0,0,,0,0,0,2,0,0,2,0,4
1,JD Notae,30,7,19,.368,4,10,.400,3,9,.333,2,4,.500,2,6,8,1,1,0,2,1,19
2,Jace Hogan,28,5,10,.500,5,10,.500,0,0,,6,10,.600,0,5,5,1,1,1,2,4,16
3,Tyreese Davis,28,3,9,.333,3,9,.333,0,0,,0,0,,1,1,2,1,3,1,2,3,6
4,Jalyn Hinton,26,2,3,.667,2,3,.667,0,0,,3,4,.750,1,3,4,4,1,2,2,1,7
5,DeAnthony McCallum,18,2,5,.400,2,3,.667,0,2,.000,7,8,.875,0,1,1,0,0,0,2,3,11
6,Tanner Rubio,9,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2
7,Derrick Flowers,7,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0
8,KJ Fitzgerald,6,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,2,2,0
9,Dave Bell,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,2,0
10,Corey Romich,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
11,Quinton Forrest,3,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0
12,Bryce Workman,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
