,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Stuckey Mosley,44,7,17,.412,6,12,.500,1,5,.200,4,6,.667,1,4,5,4,2,0,1,0,19
1,Darius Banks,34,5,8,.625,3,6,.500,2,2,1.000,6,7,.857,1,5,6,1,1,0,1,1,18
2,Matt Lewis,32,3,6,.500,2,3,.667,1,3,.333,9,11,.818,0,3,3,0,1,1,2,1,16
3,Dwight Wilson,13,1,4,.250,1,4,.250,0,0,,0,0,,0,0,0,0,1,1,1,3,2
4,Greg Jones,7,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0
5,Deshon Parker,34,3,6,.500,3,4,.750,0,2,.000,4,5,.800,2,1,3,2,6,0,0,4,10
6,Develle Phillips,28,5,6,.833,5,6,.833,0,0,,1,4,.250,1,5,6,2,0,2,6,3,11
7,Zach Jacobs,27,2,7,.286,2,5,.400,0,2,.000,1,2,.500,4,5,9,0,2,3,3,3,5
8,Devon Flowers,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,2,0
9,Antanee Pinkard,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
