,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Chasten King,28,4,13,.308,1,5,.200,3,8,.375,6,8,.750,1,0,1,0,1,0,2,2,17
1,Dalyn Mumphrey,26,4,6,.667,4,6,.667,0,0,,2,4,.500,6,3,9,0,0,0,0,2,10
2,Eric Stewart,17,1,10,.100,1,3,.333,0,7,.000,0,0,,0,2,2,1,1,0,0,1,2
3,Jarreyon Johnson,13,3,6,.500,1,4,.250,2,2,1.000,0,0,,1,0,1,0,0,0,2,4,8
4,DeAndre Newton,6,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0
5,Jaewon Williams,15,6,11,.545,5,10,.500,1,1,1.000,0,2,.000,2,5,7,0,0,0,1,3,13
6,Kyarius Body,15,0,4,.000,0,3,.000,0,1,.000,0,1,.000,1,1,2,0,0,0,0,1,0
7,Tyler Bell,11,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,1,0,4
8,Lee Lincoln,11,1,5,.200,1,1,1.000,0,4,.000,0,0,,0,0,0,0,1,0,0,1,2
9,Gregory Young Jr.,10,1,3,.333,0,0,,1,3,.333,0,0,,0,1,1,5,0,0,1,0,3
10,JT Brown,10,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,2,3,2
11,Churon Thomas Jr.,9,1,4,.250,1,3,.333,0,1,.000,2,2,1.000,1,0,1,0,1,0,2,2,4
12,Eric Malone,8,0,5,.000,0,5,.000,0,0,,0,4,.000,1,3,4,1,1,0,1,1,0
13,Jawan Butler-Stevenson,7,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2
14,Charles James,7,0,3,.000,0,1,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,0,0,1
15,Koul Arop,7,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0
