,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Gavin Spinks,33,3,10,.300,3,10,.300,0,0,,0,2,.000,1,1,2,0,2,0,4,2,6
1,Bailey Stephens,18,3,7,.429,0,2,.000,3,5,.600,4,4,1.000,1,3,4,1,0,0,2,3,13
2,King Grant-Perry,17,3,6,.500,3,5,.600,0,1,.000,0,0,,2,0,2,0,0,1,0,2,6
3,Andrew Romero III,12,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2
4,Jontrell Herman,10,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,3
5,Kevin Avalos,25,2,7,.286,2,6,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,1,4
6,Charles Young,17,1,7,.143,0,4,.000,1,3,.333,0,1,.000,0,1,1,0,1,0,1,1,3
7,Edmond Myers Jr,13,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,4,1,0
8,Jalen Scandrett,12,3,6,.500,1,1,1.000,2,5,.400,0,1,.000,0,2,2,0,0,0,0,0,8
9,Chima Ogboi,11,2,4,.500,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,0,3,4
10,Dakota Patton,10,0,3,.000,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0
11,Tony Clardy,9,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3
12,Kai Roubideaux,8,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,Tim Leutritz,5,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0
