,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Dedric Lawson,37,6,17,.353,6,14,.429,0,3,.000,1,1,1.000,4,11,15,1,0,3,1,2,13
1,Quentin Grimes,35,6,11,.545,5,5,1.000,1,6,.167,1,3,.333,2,0,2,1,1,0,3,4,14
2,Devon Dotson,28,4,10,.400,3,7,.429,1,3,.333,7,8,.875,0,5,5,1,4,0,2,4,16
3,Lagerald Vick,25,5,12,.417,3,5,.600,2,7,.286,0,1,.000,0,4,4,1,3,1,4,1,12
4,Udoka Azubuike,23,4,5,.800,4,5,.800,0,0,,0,1,.000,3,6,9,0,0,2,1,2,8
5,Marcus Garrett,28,1,3,.333,1,2,.500,0,1,.000,3,4,.750,0,1,1,5,1,0,1,2,5
6,Charlie Moore,13,0,4,.000,0,3,.000,0,1,.000,2,4,.500,1,2,3,1,1,0,0,1,2
7,David McCormack,6,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,1,0,1,1,0
8,Mitch Lightfoot,4,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0
9,K.J. Lawson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
