,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Cartier Diarra,37,6,12,.500,4,9,.444,2,3,.667,3,3,1.000,1,3,4,4,1,0,3,2,17
1,Dean Wade,37,2,5,.400,2,4,.500,0,1,.000,6,6,1.000,0,4,4,3,1,1,2,2,10
2,Barry Brown,36,12,17,.706,9,13,.692,3,4,.750,11,16,.688,0,2,2,2,6,0,1,2,38
3,Xavier Sneed,33,2,7,.286,2,4,.500,0,3,.000,7,8,.875,3,9,12,1,0,1,0,2,11
4,Makol Mawien,18,2,4,.500,2,4,.500,0,0,,0,0,,1,1,2,2,0,1,1,4,4
5,Brian Patrick,14,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,1,0,0,0,2,3
6,Amaad Wainright,14,0,1,.000,0,0,,0,1,.000,0,2,.000,0,2,2,1,0,0,0,3,0
7,Mawdo Sallah,4,1,2,.500,1,2,.500,0,0,,1,2,.500,0,1,1,0,0,0,1,0,3
8,Mike McGuirl,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
9,James Love III,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
10,Levi Stockard III,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
