,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,PJ Washington,32,5,8,.625,4,6,.667,1,2,.500,9,9,1.000,2,4,6,1,0,4,3,2,20
1,Kevin Knox,31,1,9,.111,0,4,.000,1,5,.200,1,2,.500,1,4,5,4,1,0,7,2,4
2,Hamidou Diallo,30,8,13,.615,7,11,.636,1,2,.500,6,10,.600,1,3,4,1,2,0,1,2,23
3,Nick Richards,18,5,7,.714,5,7,.714,0,0,,0,0,,4,4,8,0,0,1,2,3,10
4,Quade Green,16,4,6,.667,3,4,.750,1,2,.500,0,0,,1,2,3,5,0,0,1,2,9
5,Shai Gilgeous-Alexander,32,4,8,.500,2,4,.500,2,4,.500,5,6,.833,1,5,6,9,1,0,3,1,15
6,Wenyen Gabriel,23,3,5,.600,2,2,1.000,1,3,.333,1,3,.333,1,3,4,0,1,3,0,3,8
7,Tai Wynyard,12,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,2,4,6,0,2,0,2,3,4
8,Brad Calipari,6,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
9,Dillon Pulliam,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Jonny David,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
