,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Jaworski,31,5,11,.455,2,5,.400,3,6,.500,0,0,,0,3,3,4,1,0,4,4,13
1,Paulius Zalys,27,4,12,.333,4,12,.333,0,0,,0,0,,1,7,8,5,3,0,1,0,8
2,Myles Cherry,21,5,6,.833,5,6,.833,0,0,,0,0,,1,2,3,2,2,1,0,1,10
3,Alex Petrie,21,1,9,.111,0,7,.000,1,2,.500,0,0,,0,0,0,0,1,0,0,1,3
4,Tyrone Perry,14,1,5,.200,0,2,.000,1,3,.333,0,0,,1,3,4,1,1,0,0,0,3
5,Lukas Jarrett,23,6,10,.600,4,7,.571,2,3,.667,0,0,,3,0,3,1,3,3,2,0,14
6,E.J. Stephens,23,4,7,.571,2,3,.667,2,4,.500,0,0,,1,3,4,3,0,1,1,3,10
7,Isaac Suffren,18,4,6,.667,4,6,.667,0,0,,0,0,,0,2,2,1,1,0,2,2,8
8,Kyle Stout,14,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0
9,Sean Good,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0
10,Dylan Hastings,3,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0
