,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Josh Nzeakor,34,6,8,.750,6,8,.750,0,0,,1,4,.250,4,4,8,1,0,0,5,1,13
1,Christian Barrett,32,5,9,.556,5,9,.556,0,0,,6,8,.750,5,4,9,1,0,0,1,4,16
2,T.J. Atwood,32,4,9,.444,4,9,.444,0,0,,2,2,1.000,2,4,6,3,3,0,1,3,10
3,Grehlon Easter,21,2,6,.333,0,3,.000,2,3,.667,0,0,,2,1,3,0,1,0,2,3,6
4,Jordan Hunter,12,0,6,.000,0,3,.000,0,3,.000,0,0,,0,0,0,1,0,0,0,0,0
5,Nick Garth,26,4,11,.364,1,4,.250,3,7,.429,7,9,.778,0,0,0,1,0,0,0,2,18
6,V.J. Holmes,20,0,2,.000,0,2,.000,0,0,,1,2,.500,0,1,1,4,1,0,1,4,1
7,Michael Kolawole,8,1,2,.500,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,0,2,0,4
8,Davion Buster,8,0,3,.000,0,1,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,0,0
9,Jordan Foster,7,0,2,.000,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0
