,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ty Flowers,37,5,13,.385,4,6,.667,1,7,.143,0,0,,3,8,11,4,1,2,1,2,11
1,Jashaun Agosto,37,1,9,.111,1,5,.200,0,4,.000,0,0,,0,2,2,2,0,0,5,5,2
2,Raiquan Clark,35,12,16,.750,12,16,.750,0,0,,5,7,.714,0,7,7,1,2,1,7,3,29
3,Julian Batts,35,4,11,.364,1,3,.333,3,8,.375,2,2,1.000,0,3,3,3,1,0,1,2,13
4,Julius Van Sauers,22,2,4,.500,2,4,.500,0,0,,1,2,.500,1,5,6,2,0,0,2,1,5
5,Raul Frias,14,1,4,.250,0,0,,1,4,.250,0,0,,1,3,4,0,0,0,1,0,3
6,Eral Penn,11,0,5,.000,0,5,.000,0,0,,0,0,,3,0,3,0,0,0,0,1,0
7,Ousmane Ndim,7,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,2,1,3,0,0,1,1,3,4
8,Ganlandou Cisse,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,Shyheim Hicks,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
