,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,JaShaun Smith,38,6,11,.545,5,8,.625,1,3,.333,2,2,1.000,1,4,5,0,1,0,2,1,15
1,Sean Flood,32,2,7,.286,2,3,.667,0,4,.000,0,0,,0,3,3,0,3,0,1,3,4
2,Lorenzo Phillips,25,2,10,.200,1,5,.200,1,5,.200,2,2,1.000,1,2,3,2,2,0,1,4,7
3,Jordan Cintron,17,3,4,.750,2,2,1.000,1,2,.500,1,1,1.000,0,3,3,1,0,1,3,2,8
4,Pernell Adgei,9,1,2,.500,1,2,.500,0,0,,0,0,,1,2,3,0,1,0,1,0,2
5,Damarion Geter,26,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,6,6,1,0,1,0,1,3
6,Juan Munoz,16,4,6,.667,2,2,1.000,2,4,.500,2,2,1.000,0,0,0,0,2,0,2,2,12
7,Spencer Franklin,14,4,5,.800,4,5,.800,0,0,,0,0,,3,2,5,0,0,0,0,2,8
8,Gus Okafor,14,1,3,.333,0,0,,1,3,.333,0,0,,0,1,1,0,0,0,2,0,3
9,Kamil Chapman,9,0,3,.000,0,1,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0
