,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordan Nwora,38,8,17,.471,4,9,.444,4,8,.500,4,6,.667,3,11,14,2,3,0,1,1,24
1,Dwayne Sutton,30,3,9,.333,2,4,.500,1,5,.200,1,2,.500,2,3,5,1,1,0,0,5,8
2,Christen Cunningham,29,5,10,.500,1,4,.250,4,6,.667,2,2,1.000,0,1,1,3,1,0,3,0,16
3,Steven Enoch,19,3,3,1.000,3,3,1.000,0,0,,0,0,,1,4,5,1,0,1,1,4,6
4,Darius Perry,17,0,7,.000,0,3,.000,0,4,.000,0,0,,1,1,2,2,0,0,1,3,0
5,Ryan McMahon,23,3,7,.429,1,1,1.000,2,6,.333,3,3,1.000,0,1,1,1,1,0,1,3,11
6,Malik Williams,15,1,5,.200,1,2,.500,0,3,.000,0,0,,1,4,5,2,0,3,1,3,2
7,V.J. King,12,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0
8,Khwan Fore,11,0,0,,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,1,0
9,Akoy Agau,6,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
